DATA;TEMPERATURA MAXIMA;PRECIPITACAO
31/08/2020;23.68;0
01/09/2020;23.06;0
02/09/2020;24.16;0
03/09/2020;22.25;1
04/09/2020;25.01;0
05/09/2020;27.59;0
06/09/2020;22.9;0
07/09/2020;18.11;1
08/09/2020;22.04;1
09/09/2020;24.63;0
10/09/2020;27.11;1
11/09/2020;29.49;0
12/09/2020;26.76;1
13/09/2020;30.02;0
14/09/2020;22.79;1
15/09/2020;20.59;1
16/09/2020;19.76;1
17/09/2020;20.57;1
18/09/2020;24.32;1
19/09/2020;25.5;0
20/09/2020;18.11;0
21/09/2020;17.18;1
22/09/2020;20.33;1
23/09/2020;23.24;0
24/09/2020;26.19;0
25/09/2020;27.68;0
26/09/2020;31.28;1
27/09/2020;27.75;0
28/09/2020;20.13;1
29/09/2020;27.12;0
30/09/2020;32.61;0
01/10/2020;31.93;0
02/10/2020;32.66;0
03/10/2020;29.31;0
04/10/2020;26.45;1
05/10/2020;26.15;0
06/10/2020;29.52;0
07/10/2020;28.98;0
08/10/2020;20.83;1
09/10/2020;17.72;1
10/10/2020;21.31;1
11/10/2020;24.87;0
12/10/2020;27.04;0
13/10/2020;27.12;0
14/10/2020;27.22;0
15/10/2020;23.51;1
16/10/2020;23.1;1
17/10/2020;24.22;0
18/10/2020;25.62;0
19/10/2020;28.29;0
20/10/2020;29.02;0
21/10/2020;28.17;1
22/10/2020;26.96;0
23/10/2020;26.25;0
24/10/2020;27.72;0
25/10/2020;28.65;1
26/10/2020;22.21;1
27/10/2020;22.95;1
28/10/2020;27.45;0
29/10/2020;22.03;1
30/10/2020;20.48;1
31/10/2020;20.3;0
01/11/2020;21.53;0
02/11/2020;22.93;0
03/11/2020;24.26;0
04/11/2020;21.23;0
05/11/2020;22.85;0
06/11/2020;26.2;0
07/11/2020;29.3;0
08/11/2020;29.45;0
09/11/2020;19.77;1
10/11/2020;24.63;1
11/11/2020;22.9;1
12/11/2020;24.66;1
13/11/2020;27.13;1
14/11/2020;29.76;0
15/11/2020;24.86;0
16/11/2020;26.43;1
17/11/2020;25.08;1
18/11/2020;19.55;1
19/11/2020;22.48;1
20/11/2020;23.44;0
21/11/2020;24.78;0
22/11/2020;27.23;0
23/11/2020;28.06;0
24/11/2020;29.29;0
25/11/2020;31.97;0
26/11/2020;27.07;1
27/11/2020;26.75;1
28/11/2020;29.26;1
29/11/2020;22.88;1
30/11/2020;22.67;1
